2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017
합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
소계,서울지역,서울지역,경기지역,인천지역,기타지역,소계,서울지역,서울지역,경기지역,인천지역,기타지역,소계,서울지역,서울지역,경기지역,인천지역,기타지역
소계,놀이터인접 구,놀이터인접 외,소계,소계,소계,소계,놀이터인접 구,놀이터인접 외,소계,소계,소계,소계,놀이터인접 구,놀이터인접 외,소계,소계,소계
36203,23043,10170,2500,456,34,66462,50122,13206,2651,440,43,78350,59961,15505,2397,430,
