,contetnt,date,place,tags
10,"['월이벤트', '당첨자발표예정', '시간보다', '분', '일찍', '찾아온', '행운권', '당첨자', '발표', '댕댕', '이름', '휴대폰', '뒤', '자리', '로', '확인해', '주세요', '블리스풀', '댕댕이', '입장권', '팀모찌', '하루', '미르', '뽀기와', '쿠기', '이슬과', '마루', '친봉산장', '음료권', '팀아코', '코코', '쵸파', '보리', '안팽이', '스와브호텔', '주중', '숙박권', '팀아리와', '리아', '차차와', '몰리', '랄랄라더예쁜협재', '숙박권', '팀밤비', '건강검진권', '팀찰떡과', '송', '블리스풀', '댕댕이', '입장권', '당첨되신', '분들이', '젤', '좋겠다', '당첨', '되신', '분들', '모두모두', '축하드려요', '이번주', '금요일', '안으로', '안내', '문자', '발송해', '드릴게요', '영상에', '나온', '당첨자', '중', '무효표들이', '있어서', '무효표는', '재추첨', '했습니다', '스탬프가', '없거나', '전화번호가', '없는', '분들은', '무효표']",2022-11-01,환상의 섬 Jeju Island,"['월이벤트', '당첨자발표예정']"
11,"['같이', '노시개', '주소', '충주시', '중앙탑면', '루암리', '층', '주차시설', '완비']",2022-11-01,,[]
12,"['블리스풀의행복한댕댕이들', '오늘의', '귀여운', '댕댕이들', '초록초록', '풀들이', '점점', '사라져가서', '아쉬워요', '영업시간', 'Last', 'order', '입장과', '동시에', '놀이터', '입구와', '하이라이트에', '게재한', '블리스풀', '이용', '수칙을', '인지', '및', '동의한', '것으로', '간주합니다', '놀이터', '입장', '전까지', '리드줄', '필수', '놀이터', '이중문이', '동시에', '열리지', '않게', '유의해', '주시고', '문단속', '잘해주세요', '놀이터에서', '뛰거나', '소리', '지르는', '등의', '행동은', '삼가해주세요', '반려견의', '배변은', '꼭', '치워주세요']",2022-11-01,환상의 섬 Jeju Island,['블리스풀의행복한댕댕이들']
13,"['월', '일에', '열린', '애견협회', '어질리티', '대회에서', '혜전대학교', '학생', '취미반', '견주님', '에덴도그파크', '선생님이', '상을', '타왔습니다', '그', '중에서', '소장님의', '아들도', '참가하였는데', '어린나이에도', '불구하고', '비기너', '부분에서', '멋지게', '등', '상을', '받았어요', '치치', '비기너', '등페페', '비기너', '등', '비기너', '등에덴', '비기너', '등레이', '비기너', '등', '비기너', '등', '노비스', '등써니', '비기너', '등수딩', '비기너', '등', '노비스', '등럭키', '비기너', '등카슈', '점핑', '등모모', '점핑', '등모두들', '연습하느라', '고생많았습니다', '홈페이지', 'https', 'edendog', 'modoo', 'at', '블로그', 'https', 'm', 'blog', 'naver', 'com', 'PostList', 'nhn', 'blogId', 'eden', 'dogpark']",2022-11-01,,[]
14,"['나는', '후추', '너무', '귀여운', '걸', '오또카징', 'dang', 'stay', '댕스테이', '배곧', '배곧애견놀이터', '배곧애견호텔', '정왕동애견놀이터', '애견카페', '정왕동애견호텔', '반려견놀이터', '반려견호텔', '오이도', '강아지', '애견', '반려견', '배곧신도시', '아브뉴프랑', '애견카페', '시흥애견놀이터', '정왕', '배곧한울공원', '배곧생명공원', '배곧강아지', '시흥', '애견유치원', '배곧애견유치원', '펫스타그램', '시흥배곧']",2022-11-01,,"['댕스테이', '배곧', '배곧애견놀이터', '배곧애견호텔', '정왕동애견놀이터', '애견카페', '정왕동애견호텔', '반려견놀이터', '반려견호텔', '오이도', '강아지', '애견', '반려견', '배곧신도시', '아브뉴프랑', '애견카페', '시흥애견놀이터', '정왕', '배곧한울공원', '배곧생명공원', '배곧강아지', '시흥', '애견유치원', '배곧애견유치원', '펫스타그램', '시흥배곧']"
15,"['출처', '투어용인홈페이지', '오늘은', '꽁요일', '꽁알몬이', '소개하는', '용인', '핫플레이스용인', '기흥호수공원', '누리자꽁', '남녀노소', '댕댕이', '까지', '모두가', '만족하는', '곳', '용인', '기흥호수공원', '하늘하늘', '끝도', '없이', '펼쳐진', '코스모스단지라꽁', '물', '반', '하늘', '반', '데칼코마니', '풍경', '계단', '위에서', '직관', '기흥호수', '물빛공원물빛', '로드', '만보걷기', '도전해보라꽁', '순환산책로', '개의', '코스', '산책에', '진심인편', '기흥호수', '순환산책로', '기흥호수공원', '순환산책로', '코스', 'A코스', 'km', '도보', '시간', '조정경기장', '기흥레스피아', '생태학습장', '매미산', '부교', '수문', '기흥수상골프연습장', '조정경기장', 'B코스', 'km', '도보', '시간', '조정경기장', '기흥수상골프연습장', '수문', '부교', '매미산', '낚시터', 'C코스', 'km', '도보', '분', '조정경기장', '기흥레스피아', '생태학습장호수와', '숲이', '함께', '펼쳐진', '자연', '풀코스라꽁', '숲바람', '물바람', '가르며', '누리는', '마법같은', '코스기흥호수', '자전거길우리지', '댕댕이', '하고싶은', '거', '다', '하라꽁', '우리집', '댕댕이랑', '즐겁고', '행복한', '추억만들기기흥호수', '기흥레스피아', '반려견놀이터낮에는', '물결로', '반짝', '밤에는', '조명으로', '반짝', '밤낮', '예쁘고', '누구에게나', '열려있는', '용인', '기흥호수공원에서잊을', '수', '없는', '가을', '추억', '쌓아보라꽁', '경기', '용인시', '기흥구', '동탄기흥로']",2022-11-01,경기도 용인,"['물빛공원물빛', '순환산책로', '기흥호수공원', '자전거길우리지', '반려견놀이터낮에는']"
16,"['sin', 'hyeong', 'ssam', '재밌는', '글과', '영상', '많아요', '여름스타그램', '강동역', '여자아기옷', '일상스냅', '강아지', '반려견놀이터', '상수맛집', '소통하자', '일상스타그램', '대만여행', '아기식단', '유머', '개월아기', '짤방', '돌잔치준비', '부산카페']",2022-11-01,,"['여름스타그램', '강동역', '여자아기옷', '일상스냅', '강아지', '반려견놀이터', '상수맛집', '소통하자', '일상스타그램', '대만여행', '아기식단', '유머', '개월아기', '짤방', '돌잔치준비', '부산카페']"
17,"['스탠다드푸들칸', '스탠다드푸들', '스탠푸', '푸들', '반려견', '댕댕이', '멍스타그램', '댕댕이그램', '인스타댕댕이', '일상', '일상그램', '댕댕이일상', '반려견운동장', '반려견놀이터', 'standardpoodles', 'spoo', 'poodle', 'iloveyou']",2022-11-01,파라다이스독,"['스탠다드푸들칸', '스탠다드푸들', '스탠푸', '푸들', '반려견', '댕댕이', '멍스타그램', '댕댕이그램', '인스타댕댕이', '일상', '일상그램', '댕댕이일상', '반려견운동장', '반려견놀이터', 'standardpoodles', 'spoo', 'poodle', 'iloveyou']"
18,"['늘', '건강하자', '아가들아', '건강하고행복하게', '늘지금처럼', '애견유치원', '애견놀이방', '애견놀이터', '강아지유치원', '애견호텔링', '강아지호텔', '애견운동장', '반려견유치원', '강아지놀이터', '호텔링', '애견훈련', '강아지운동장', '반려견카페', '반려견운동장', '애견훈련소', '반려견놀이터', '반려견호텔', '개치원', '영종도', '하늘도시', '운서동', '을왕리', '영종도애견호텔', '영종도애견유치원', '영종도강아지유치원', '영종도강아지호텔']",2022-11-01,,"['건강하고행복하게', '늘지금처럼', '애견유치원', '애견놀이방', '애견놀이터', '강아지유치원', '애견호텔링', '강아지호텔', '애견운동장', '반려견유치원', '강아지놀이터', '호텔링', '애견훈련', '강아지운동장', '반려견카페', '반려견운동장', '애견훈련소', '반려견놀이터', '반려견호텔', '개치원', '영종도', '하늘도시', '운서동', '을왕리', '영종도애견호텔', '영종도애견유치원', '영종도강아지유치원', '영종도강아지호텔']"
19,"['두부', '오늘', '목욕', '확정']",2022-11-01,삼락생태공원,[]
